中药名称,成分ID,分子式,来源药材,CNE1_IC50,CNE2_IC50,细胞凋亡率,IL_2_Secretion,IFN_g_Secretion,TNF_a_Secretion,Binding_Energy,Target_ID,Pathway_Name,复方,口服生物利用度,半衰期,配伍权重,CNE1_抑制评分,CNE2_抑制评分,免疫激活评分,抗肿瘤活性评分,双效综合评分,免疫激活评分_加权,抗肿瘤活性评分_加权
白术,CMP001,C31H50O9,白术,3.4760647670440266,28.227902518542805,25.624751670417595,149.92953069116237,209.47585647841515,224.66219841063867,-7.6839755567677495,TLR7,NF-κB,黄柏+栀子+佩兰,12.12287757470909,5.573265965792915,1.0,0.9858532488524304,0.7154215400015561,179.70269358478876,0.8506373944269933,72.39145987057171,179.70269358478876,0.8506373944269933
黄柏,CMP002,C27H73O16,黄柏,95.76409414847134,34.32285996615005,16.492209036610355,108.04877738807797,257.2984225772888,156.8756173712194,-7.6839755567677495,TLR9,TGF-β,女贞子+木香+熟地,59.48158018913968,20.81925870714788,1.0,0.6102630705748027,0.6539754724782347,182.67359998268338,0.6321192715265187,73.44871155598928,182.67359998268338,0.6321192715265187
柴胡,CMP003,C23H78O17,柴胡,50.09528869448716,21.741196046377283,28.68844754343793,187.96437166537385,201.4499078690462,,-10.630890814415224,GITR,PI3K-Akt,生地+木香+栀子,35.942618753225744,18.67121228462456,1.0,0.7961241719240981,0.7808170095054694,194.70713976721004,0.7884705907147838,78.35593826131289,194.70713976721004,0.7884705907147838
厚朴,CMP004,C17H49O15,厚朴,15.144287453764203,14.823401633025124,62.14922874641246,112.40568503678516,229.1638672626322,115.68194941422622,-7.33173660043475,TIGIT,JAK-STAT,单味药,22.227305547860887,4.679586039616356,1.0,0.9383663768446264,0.8505584746902947,170.78477614970868,0.8944624257674605,68.85058791534395,170.78477614970868,0.8944624257674605
白术,CMP005,C29H45O6,白术,30.056512736095183,16.6576176801223,10.227172127121053,108.04877738807797,221.5105872880588,,-5.904302407583483,IFNAR1,TNF-α,川芎+佩兰,71.00086400601211,13.405717692751391,1.0,0.877677191152316,0.8320668996381114,164.77968233806837,0.8548720453952137,66.42479616246447,164.77968233806837,0.8548720453952137
丹皮,CMP006,C25H43O7,丹皮,87.92295032120002,94.7479950845014,15.995741644751517,102.33818803015662,39.37950517114741,193.74150883544945,-5.873324565544098,OX40,Notch,木香+柴胡,87.14903248059642,22.365010339050063,1.0,0.6421746481404413,0.04480191146418022,70.85884660065202,0.3434882798023108,28.549631608142192,70.85884660065202,0.3434882798023108
三七,CMP007,C36H74O6,三七,3.0823917406988293,55.838230720023496,51.190808008724574,11.366259407167773,218.19546503356716,28.835335215936,-7.6839755567677495,PD-L1,Wnt,单味药,53.13871451158037,17.63710901526233,1.0,0.9874554037921245,0.4370691305560599,114.78086222036747,0.7122622671740921,46.339702248451445,114.78086222036747,0.7122622671740921
淫羊藿,CMP008,C13H36O17,淫羊藿,7.000654733624351,73.09314525567709,66.04147576031892,30.76111612651276,73.64522019966313,141.0271521689309,-10.878541623241803,4-1BB,MAPK,单味药,14.0470663619905,23.98349677349271,1.0,0.9715090117636509,0.263114406051274,52.203168163087945,0.6173117089074625,21.25165429057966,52.203168163087945,0.6173117089074625
黄芪,CMP009,C14H23O12,黄芪,98.54557553419286,47.54969859963669,64.88494213639986,96.45158979443724,138.44209607724562,239.9696456020232,-7.6839755567677495,IFNGR1,Notch,熟地+黄柏+当归,68.85897430312347,2.4020241439598635,1.0,0.5989431074491267,0.5206296326131244,117.44684293584143,0.5597863700311256,47.31460899635525,117.44684293584143,0.5597863700311256
桔梗,CMP010,C42H48O9,桔梗,12.868774780765294,89.13844409881432,27.235074345203746,122.95863917135382,143.79811937617734,113.51785510393005,-7.330621685670202,IFNAR1,Wnt,赤芍+黄柏,20.47026257019652,15.84651814326594,1.0,0.9476271684798269,0.10135437333204089,133.37837927376557,0.5244907709059339,53.666046172049796,133.37837927376557,0.5244907709059339
红花,CMP011,C13H26O18,红花,88.20555319495752,88.04775400596974,35.86689621172188,39.97189814787407,253.448587299146,180.33188239553215,-7.106577874192399,IFNAR1,NF-κB,单味药,81.17701656045674,18.07558373156297,1.0,0.6410245221224975,0.11235012148418855,146.71024272351002,0.376687321803343,58.91010948248602,146.71024272351002,0.376687321803343
生地,CMP012,C16H60O18,生地,5.364589418105952,34.02209732190373,19.15737624911916,196.16161122747883,65.24295335668812,118.83134528729988,-6.354660425920074,IFNGR1,NF-κB,白术+枸杞,56.60076531918352,4.406157068052101,1.0,0.9781674057899195,0.6570075989378061,130.70228229208348,0.8175875023638628,52.77146541825171,130.70228229208348,0.8175875023638628
佩兰,CMP014,C22H61O18,佩兰,40.568160051646025,98.13381903262776,47.53510127351053,188.455056661696,52.29569051839973,,-10.571457470620292,ICOS,NF-κB,淫羊藿+延胡索,58.49670826449146,12.762730372397996,1.0,0.8348973039264022,0.010667863978692793,120.37537359004787,0.4227825839525475,48.403818986390675,120.37537359004787,0.4227825839525475
枸杞,CMP015,C48H56O19,枸杞,94.93857411116012,92.15631476558598,53.62087869624864,136.0436204904534,54.89508838602297,226.51100624781648,-7.943019967717847,TLR7,Wnt,桔梗+熟地,63.19435473702172,9.72034137381846,1.0,0.6136227394296225,0.07092983200240444,95.46935443823818,0.3422762857160135,38.39310754672488,95.46935443823818,0.3422762857160135
