Pathway_ID,Pathway_Name,GeneCount,pvalue,p.adjust,qvalue
hsa04064,NF-kappa B signaling pathway,19,0.025182275909591923,0.0012591137954795961,0.0010072910363836769
hsa04668,TNF signaling pathway,4,0.04319404257366663,0.004319404257366663,0.003455523405893331
hsa04151,PI3K-Akt signaling pathway,7,0.03174485604345141,0.004761728406517712,0.0038093827252141696
hsa04630,JAK-STAT signaling pathway,24,0.02168583837318452,0.004337167674636904,0.0034697341397095234
hsa04010,MAPK signaling pathway,5,0.019853598272050504,0.004963399568012626,0.003970719654410101
hsa04310,Wnt signaling pathway,22,0.049809947631764745,0.014942984289529424,0.01195438743162354
hsa04390,Hippo signaling pathway,19,0.013319291879108845,0.004661752157688095,0.0037294017261504764
hsa04330,Notch signaling pathway,20,0.04317820540949041,0.017271282163796163,0.01381702573103693
hsa04115,p53 signaling pathway,3,0.03433388710256941,0.015450249196156235,0.012360199356924988
hsa04660,T cell receptor signaling pathway,6,0.034403808082302166,0.017201904041151083,0.013761523232920868
hsa04650,B cell receptor signaling pathway,20,0.03779301217998888,0.020786156698993884,0.016628925359195107
hsa04653,Natural killer cell mediated cytotoxicity,23,0.01766859817852122,0.010601158907112732,0.008480927125690185
hsa04666,Fc gamma R-mediated phagocytosis,12,0.022303497282786147,0.014497273233810995,0.011597818587048796
hsa04664,Fc epsilon RI signaling pathway,17,0.0011590204889847353,0.0008113143422893148,0.0006490514738314518
hsa04062,Chemokine signaling pathway,11,0.0486225168446356,0.036466887633476705,0.029173510106781365
hsa04060,Cytokine-cytokine receptor interaction,8,0.02587640205561194,0.02070112164448955,0.01656089731559164
hsa05200,Pathways in cancer,6,0.04365540992200158,0.037107098433701344,0.029685678746961076
hsa05210,Colorectal cancer,12,0.04224179806045089,0.038017618254405805,0.030414094603524646
hsa05211,Renal cell carcinoma,19,0.030839540360470444,0.02929756334244692,0.023438050673957538
hsa05212,Pancreatic cancer,7,0.019321778776966253,0.019321778776966253,0.015457423021573003
