GO_ID,Term,Category,GeneCount,pvalue,p.adjust,qvalue
GO:9159732,positive regulation of immune response,BP,26,0.03729271948871612,0.0018646359744358058,0.0014917087795486448
GO:509914,regulation of inflammatory response,BP,23,0.021674169164578254,0.0021674169164578256,0.0017339335331662605
GO:455199,apoptotic process,BP,11,0.012400383776146242,0.001860057566421936,0.0014880460531375489
GO:9152600,cell proliferation,MF,11,0.03608496103319777,0.007216992206639554,0.0057735937653116435
GO:4677265,NF-kappa B signaling pathway,CC,12,0.023011243267908828,0.005752810816977207,0.004602248653581766
GO:7100293,TNF signaling pathway,BP,29,0.040485143339807586,0.012145543001942276,0.009716434401553821
GO:5657119,PI3K-Akt signaling pathway,CC,13,0.008618495490777298,0.0030164734217720543,0.0024131787374176436
GO:6032674,JAK-STAT signaling pathway,BP,7,0.019616437731229532,0.007846575092491813,0.00627726007399345
GO:738977,MAPK signaling pathway,CC,24,0.01396152249387864,0.006282685122245388,0.00502614809779631
GO:6360753,Wnt signaling pathway,MF,19,0.027275176481280337,0.01363758824064017,0.010910070592512137
GO:6077228,Hippo signaling pathway,BP,22,0.015365735788947552,0.008451154683921153,0.006760923747136923
GO:778805,Notch signaling pathway,MF,11,0.03552401997453125,0.02131441198471875,0.017051529587775
GO:1348687,p53 signaling pathway,MF,12,0.03888034869864591,0.02527222665411984,0.020217781323295873
GO:7616962,T cell receptor signaling pathway,BP,8,0.019626185026919145,0.013738329518843401,0.010990663615074722
GO:5970453,B cell receptor signaling pathway,MF,16,0.008970050760648156,0.006727538070486117,0.005382030456388894
GO:1207935,Natural killer cell mediated cytotoxicity,BP,26,0.014081913280406554,0.011265530624325244,0.009012424499460195
GO:4117245,Fc gamma R-mediated phagocytosis,MF,25,0.009385793761706753,0.00797792469745074,0.006382339757960593
GO:9354066,Fc epsilon RI signaling pathway,BP,19,0.019593316646124743,0.01763398498151227,0.014107187985209817
GO:948483,Chemokine signaling pathway,BP,26,0.01688985398635077,0.01604536128703323,0.012836289029626587
GO:6740428,Cytokine-cytokine receptor interaction,BP,6,0.040447244237789504,0.040447244237789504,0.032357795390231606
