中药名称,成分ID,分子式,来源药材,CNE1_IC50,CNE2_IC50,细胞凋亡率,IL2,IFNγ,TNFα,结合能,靶点ID,通路,复方配伍,口服生物利用度,半衰期
白术,CMP001,C31H50O9,白术,3.4760647670440266,28.227902518542805,25.624751670417595,149.92953069116237,209.47585647841515,224.66219841063867,,TLR7,NF-κB,黄柏+栀子+佩兰,12.12287757470909,5.573265965792915
黄柏,CMP002,C27H73O16,黄柏,95.76409414847134,34.32285996615005,16.492209036610355,,257.29842257728876,156.8756173712194,,TLR9,TGF-β,女贞子+木香+熟地,59.481580189139684,20.819258707147878
柴胡,CMP003,C23H78O17,柴胡,,21.741196046377283,28.688447543437935,187.96437166537385,201.4499078690462,,-10.630890814415224,GITR,PI3K-Akt,生地+木香+栀子,35.942618753225744,18.67121228462456
厚朴,CMP004,C17H49O15,厚朴,15.144287453764203,14.823401633025124,62.14922874641246,112.40568503678517,229.1638672626322,115.68194941422622,-7.33173660043475,TIGIT,JAK-STAT,单味药,22.227305547860887,4.679586039616356
白术,CMP005,C29H45O6,白术,30.056512736095186,16.6576176801223,10.227172127121051,,221.5105872880588,,-5.904302407583483,IFNAR1,TNF-α,川芎+佩兰,71.00086400601211,13.405717692751391
丹皮,CMP006,C25H43O7,丹皮,87.92295032120002,94.74799508450141,15.995741644751515,102.33818803015662,39.379505171147414,193.74150883544942,-5.873324565544098,OX40,Notch,木香+柴胡,87.14903248059642,22.365010339050066
三七,CMP007,C36H74O6,三七,3.0823917406988293,55.838230720023496,51.190808008724574,11.366259407167773,218.19546503356713,28.835335215936,,PD-L1,Wnt,单味药,53.13871451158037,17.63710901526233
淫羊藿,CMP008,C13H36O17,淫羊藿,7.000654733624351,73.09314525567709,66.04147576031892,30.76111612651276,73.64522019966313,141.0271521689309,-10.878541623241805,4-1BB,MAPK,单味药,14.047066361990499,23.98349677349271
黄芪,CMP009,C14H23O12,黄芪,98.54557553419286,,64.88494213639986,96.45158979443723,138.44209607724562,239.9696456020232,,IFNGR1,Notch,熟地+黄柏+当归,68.85897430312347,2.4020241439598635
桔梗,CMP010,C42H48O9,桔梗,12.868774780765294,89.13844409881432,27.235074345203742,122.95863917135382,,113.51785510393003,-7.330621685670202,IFNAR1,Wnt,赤芍+黄柏,20.470262570196518,15.84651814326594
红花,CMP011,C13H26O18,红花,88.20555319495752,88.04775400596974,35.86689621172188,39.97189814787407,253.44858729914597,180.33188239553218,-7.106577874192399,IFNAR1,NF-κB,单味药,81.17701656045674,18.07558373156297
生地,CMP012,C16H60O18,生地,5.364589418105952,34.02209732190373,19.15737624911916,196.16161122747883,65.24295335668812,118.83134528729988,-6.354660425920074,IFNGR1,NF-κB,白术+枸杞,56.60076531918352,4.406157068052101
乳香,CMP013,C14H50O16,乳香,257.9389364983126,92.6506184343861,26.571613256055105,40.875335749083334,243.96836837393107,56.60730702528959,-8.701644717169621,4-1BB,Wnt,半夏+丹皮,79.77334263248719,20.74764478076898
佩兰,CMP014,C22H61O18,佩兰,40.568160051646025,98.13381903262776,47.535101273510534,188.45505666169598,52.295690518399724,,-10.571457470620292,ICOS,NF-κB,淫羊藿+延胡索,58.49670826449146,12.762730372397996
枸杞,CMP015,C48H56O19,枸杞,94.93857411116012,92.15631476558598,53.62087869624864,136.0436204904534,54.89508838602297,226.51100624781648,-7.943019967717847,TLR7,Wnt,桔梗+熟地,63.19435473702172,9.72034137381846
枳实,CMP016,C35H46O9,枳实,44.77382013117594,22.15643869792093,43.12303301365284,181.2243569073683,242.88693283549847,54.87747810654286,-11.321635706199025,IFNAR1,mTOR,单味药,21.788316979661815,2.062915516133444
黄芪,CMP017,C20H75O19,黄芪,89.37332279492529,86.18361597682961,71.98256438569061,157.89987728579175,81.27551830744943,203.9658162006886,-6.4327057887340935,TLR9,NF-κB,木香+丹皮,63.40621860690825,23.721526420528303
赤芍,CMP018,C47H17O17,赤芍,75.42590186355064,84.14642589635015,29.411794719151835,157.75821871345462,155.6871647796747,71.22277799643872,,LAG3,JAK-STAT,单味药,22.06645264104693,9.809811725920778
苍术,CMP019,C11H25O18,苍术,318.2060769019114,35.82412146451065,62.74325875415701,172.1551106081299,286.9604947716298,113.47000141800814,-6.019874648175594,IFNGR1,mTOR,栀子+藿香,12.32198559573722,8.730979505062797
茯苓,CMP020,C17H42O19,茯苓,245.71470373543713,18.991173624829784,28.21094197435133,72.19700671892952,147.315811004615,94.31262879735961,-4.962880111984837,ICOS,Hippo,单味药,89.99262628073674,9.04908790556423
赤芍,CMP021,C12H59O18,赤芍,76.92291173726784,17.611125193412423,52.50732457236522,152.10587387150431,52.069203986091345,207.53577596310498,-4.282233815727299,CD28,mTOR,香附+牛膝+桔梗,25.86638216733722,14.6182508087466
桃仁,CMP022,C46H63O15,桃仁,7.826716915444411,65.1067821516237,10.885650511609716,89.81116075994724,157.2564773973143,116.87799931157438,-9.102495692039424,TLR9,PI3K-Akt,砂仁+生地+乳香,71.97131602972597,11.69209674759368
人参,CMP023,C47H62O20,人参,49.936343857976276,33.17640262098719,44.12849526739411,77.4167435734581,92.33867448042986,,-7.230759936500565,ICOS,TGF-β,黄连+女贞子+丹皮,42.51424997364154,13.769052866382799
木香,CMP024,C44H31O13,木香,53.56127118343101,43.12487745781626,62.215480569952675,72.85034646722673,216.7993838120153,78.66536033940613,-9.988770590392468,CD28,JAK-STAT,单味药,69.08837228071604,7.359491420279852
灵芝,CMP025,C15H46O8,灵芝,97.45519817917105,,58.81921750371361,33.993103662097695,263.16913523362433,130.35649321308802,-5.018242120011723,IL-2RA,MAPK,单味药,30.19827123943781,20.819628186432805
木香,CMP026,C40H52O6,木香,76.67990108729323,61.02544747305331,65.35185808903935,,166.320309836461,120.87089924885724,-8.458231967845373,IL-2RA,Hippo,乳香+当归+乳香,17.938685981983056,18.5429534001583
栀子,CMP027,C27H79O20,栀子,29.52238406977524,28.989118938116487,70.17247119383657,23.524154429161058,85.35866572480715,77.17033702984142,-5.670018039640308,IL-2RA,JAK-STAT,陈皮+白术,76.13049277200477,2.6424262476837255
枳实,CMP028,C16H35O15,枳实,8.963743338030795,4.9462176341776924,40.24200649125408,71.24110083807699,90.1030126753611,36.46181835828152,-4.304711182457306,IL-2RA,mTOR,人参+生地,51.517107279008314,11.171276301664665
半夏,CMP029,C41H30O5,半夏,69.67369372435982,29.53356174078412,76.16354776942474,164.5775466002148,,121.88408852140643,-9.483862742638657,TIM3,TNF-α,桔梗+佩兰,14.336326830138288,12.924106026596762
延胡索,CMP030,C27H68O15,延胡索,80.13205959417259,71.26849968492566,31.752509687533458,12.598148248551531,134.2373924411727,67.8046549721094,-5.268754547063716,CD28,Notch,藿香+熟地+佩兰,31.873991737061935,20.198650748263972
佩兰,CMP031,C34H64O9,佩兰,27.450093643623575,1.2539606764991438,60.82356878294728,169.12042529522006,182.37854748735316,170.08607696790605,,TLR9,TGF-β,苍术+红花,46.42756934932009,8.400879055267861
藿香,CMP032,C44H19O7,藿香,96.51761939872013,13.49838071112948,77.57475131237976,73.07899374695911,48.10208860615865,213.58426443093984,-11.202306418064172,TLR9,NF-κB,甘草+半夏,37.08489872411454,16.93220576749829
丹皮,CMP033,C25H78O9,丹皮,63.48494066860941,92.17198077924938,79.81981460693507,151.88560968020613,141.5120121384752,38.13413470005152,,CD28,Notch,单味药,33.469422077216706,9.62134506483224
栀子,CMP034,C35H50O5,栀子,46.65384142214476,26.143756601940687,27.872869571140782,11.785511976425498,245.29726155304095,226.7842145457375,-6.579112914407364,4-1BB,TNF-α,郁金+川芎+陈皮,30.0078579526161,20.441990278279768
香附,CMP035,C28H56O18,香附,309.45836990854093,78.05284996123771,78.15219717795473,,228.64820315751163,,-4.776520652401796,GITR,mTOR,黄连+乳香+赤芍,70.44618589933418,18.651827813395673
黄芩,CMP036,C26H63O16,黄芩,20.878684670357543,78.86476829202002,71.35224176946484,79.51293081687352,160.50253343415523,79.04392741740544,,STING,MAPK,单味药,78.81124775190574,17.65698437773692
淫羊藿,CMP037,C19H68O8,淫羊藿,67.80881898215688,47.67620993016242,53.36828069311707,189.2021358509913,111.84175890886524,158.36931602672703,-6.818780954884468,TLR9,MAPK,半夏+白术,89.67418998040236,3.6707710566775185
藿香,CMP038,C18H41O7,藿香,61.94956919106448,93.96625350565188,29.581809806005204,141.1533261120371,80.83551171531724,119.5035270480846,,TIGIT,TNF-α,桃仁+豆蔻,25.184684972886366,3.809673539007066
木香,CMP039,C33H80O8,木香,21.50857966431919,22.3791838399488,70.87867987386812,72.42631515212378,,226.62479337346318,-11.977315588159868,OX40,PI3K-Akt,单味药,11.188826178456708,19.16964727739934
枳实,CMP040,C43H52O19,枳实,,94.59614865404052,13.03555258294202,,262.7546541727547,137.54103545757476,-8.335659823218544,PD-1,NF-κB,陈皮+淫羊藿+藿香,82.77606632921834,2.6902864626283614
佩兰,CMP041,C16H62O9,佩兰,60.937252361995974,10.818667706225156,59.12455929822463,172.03062008615925,202.2566661667655,195.70624157461356,,CD40,Hippo,枳实+栀子,43.27917202091962,3.1869743033395097
木香,CMP042,C45H18O13,木香,6.93811681911381,95.70583776084375,49.317836709880964,137.3025202991362,135.0264172182043,220.29773247506486,-4.470961049182162,TLR7,NF-κB,川芎+红花+淫羊藿,50.59300375744033,4.558794044740013
人参,CMP043,C15H49O19,人参,18.861191124124588,70.56717851369486,31.628928218093712,74.5666847876791,21.709621033024433,,,TLR4,TNF-α,甘草+人参,43.58659950116025,8.840607580694654
陈皮,CMP044,C44H44O16,陈皮,49.080508784208625,44.76237448308013,29.12167910553386,153.43919729699041,51.86890227085649,116.02970384850423,-9.734028239356405,IL-2RA,Notch,灵芝+栀子+桔梗,14.382556681446479,5.701731860135831
枸杞,CMP045,C29H58O12,枸杞,40.310046250482436,74.46209141007009,40.53537168586185,,41.801531325212125,88.56924820917399,-8.565725709593316,TLR4,Hippo,单味药,74.10577234483617,15.216881055997526
三七,CMP046,C50H56O15,三七,,8.561558369829093,54.325726687773056,110.81491594680317,74.2930377547321,197.4136338912188,-9.191202120341117,OX40,JAK-STAT,赤芍+黄连+黄芩,22.229583120474388,18.460504741048123
甘草,CMP047,C22H56O20,甘草,44.53651881784453,47.423187269110954,54.19695840178005,161.30263903877136,185.59753191268587,97.706422315718,-11.406474750613699,TLR9,Notch,桃仁+熟地+枸杞,79.14000271401913,20.671747543490078
佩兰,CMP048,C34H51O13,佩兰,15.935246592868214,7.1254963100089705,17.245131408927413,180.83409845159696,116.16257723471493,182.86415405435372,-7.963607987992341,4-1BB,NF-κB,枳实+砂仁+砂仁,22.69969663852331,9.575595588330524
