Herb_ID/Component_ID,CNE1抑制率(IC50),CNE2抑制率(IC50),IL-2分泌量,IFN-γ分泌量,靶点,结合能,通路,复方
黄芪-CMP001,25.5,22.3,250.5,320.8,PD-1,-9.2,NF-κB,君药
人参-CMP002,18.9,16.7,280.3,350.2,PD-L1,-8.7,TNF-α,臣药
灵芝-CMP003,32.1,28.9,200.7,280.5,CTLA-4,-7.5,PI3K-Akt,佐药
当归-CMP004,15.6,13.2,310.2,380.1,CD28,-10.1,NF-κB,君药
枸杞-CMP005,28.3,25.1,230.8,300.4,OX40,-6.8,MAPK,使药
女贞子-CMP006,22.7,20.5,260.9,330.7,4-1BB,-8.3,TNF-α,臣药
淫羊藿-CMP007,35.2,31.8,180.5,260.3,CD40,-5.9,JAK-STAT,使药
白术-CMP008,19.4,17.2,275.6,340.9,GITR,-8.9,PI3K-Akt,臣药
茯苓-CMP009,26.8,24.3,240.7,310.6,ICOS,-7.2,Wnt,佐药
甘草-CMP010,16.9,14.5,295.3,360.8,LAG3,-9.5,NF-κB,君药
