中药名称,成分ID,分子式,来源药材,CNE1_IC50,CNE2_IC50,细胞凋亡率,IL2,IFNγ,TNFα,结合能,靶点ID,通路,复方配伍,口服生物利用度,半衰期,CNE1_IC50_log,CNE2_IC50_log,CNE1_IC50_scaled,CNE2_IC50_scaled,IL2_scaled,IFNγ_scaled,TNFα_scaled,结合能_scaled,通路_Hippo,通路_JAK-STAT,通路_MAPK,通路_NF-κB,通路_Notch,通路_PI3K-Akt,通路_TGF-β,通路_TNF-α,通路_Wnt,通路_mTOR,靶点ID_4-1BB,靶点ID_CD28,靶点ID_CD40,靶点ID_CTLA-4,靶点ID_GITR,靶点ID_ICOS,靶点ID_IFNAR1,靶点ID_IFNGR1,靶点ID_IL-2RA,靶点ID_IL-6R,靶点ID_LAG3,靶点ID_OX40,靶点ID_PD-1,靶点ID_PD-L1,靶点ID_STING,靶点ID_TIGIT,靶点ID_TIM3,靶点ID_TLR4,靶点ID_TLR7,靶点ID_TLR9,免疫激活评分,CNE1_抑制评分,CNE2_抑制评分,抗肿瘤活性评分,双效综合评分
白术,CMP001,C31H50O9,白术,3.4760647670440266,28.227902518542805,25.624751670417595,149.92953069116237,209.47585647841515,224.66219841063867,-8.278173199020221,TLR7,NF-κB,黄柏+栀子+佩兰,12.12287757470909,5.573265965792915,0.5410879846909302,1.4506786243694338,0.0016225086556226464,0.2754184786879468,0.7345797938636134,0.706816184440866,0.8970937716079808,0.46722829652266085,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,196.1678613219064,-0.541087859752401,-1.4506786089841437,-0.9958832343682724,97.58598904376906
黄柏,CMP002,C27H73O16,黄柏,95.76409414847134,34.32285996615005,16.492209036610355,96.19324416497193,257.29842257728876,156.8756173712194,-7.123995083688833,TLR9,TGF-β,女贞子+木香+熟地,59.481580189139684,20.819258707147878,1.9812027094780977,1.5355834811005127,0.38198417039269855,0.33765127794724015,0.44970206318055733,0.8868366424321418,0.6059178468072615,0.6130092960033114,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,178.8400274917729,-1.9812027049430527,-1.5355834684472993,-1.758393086695176,88.54081720253886
柴胡,CMP003,C23H78O17,柴胡,30.382390721963027,21.741196046377283,28.688447543437935,187.96437166537385,201.4499078690462,166.24643392221202,-10.630890814415224,GITR,PI3K-Akt,生地+木香+栀子,35.942618753225744,18.67121228462456,1.482621958821227,1.3372834521846926,0.11251592484456985,0.20918571082921214,0.9362178281245647,0.6766037750631293,0.6461700048824186,0.17006313552015873,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,186.84320482389424,-1.4826219445269446,-1.3372834322090448,-1.4099526883679947,92.71662606776312
厚朴,CMP004,C17H49O15,厚朴,15.144287453764203,14.823401633025124,62.14922874641246,112.40568503678517,229.1638672626322,115.68194941422622,-7.33173660043475,TIGIT,JAK-STAT,单味药,22.227305547860887,4.679586039616356,1.1802488730559135,1.1709479050690557,0.049712652094445475,0.13855130283802639,0.5356507519152051,0.7809285754611256,0.4289712567980066,0.5867700478815856,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,160.0918372403563,-1.1802488443787988,-1.1709478757711607,-1.1755983600749798,79.45811944014066
白术,CMP005,C29H45O6,白术,30.056512736095186,16.6576176801223,10.227172127121051,109.44521921771238,221.5105872880588,149.04760342546524,-5.904302407583483,IFNAR1,TNF-α,川芎+佩兰,71.00086400601211,13.405717692751391,1.4779386052268921,1.221612916158311,0.11117283091289719,0.1572796368811107,0.5199561284340837,0.7521190179959394,0.5722927669602276,0.7670652558417242,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,166.1520817081768,-1.4779385907776286,-1.2216128900864873,-1.349775740432058,82.40115298387238
丹皮,CMP006,C25H43O7,丹皮,87.92295032120002,94.74799508450141,15.995741644751515,102.33818803015662,39.379505171147414,193.74150883544942,-5.873324565544098,OX40,Notch,木香+柴胡,87.14903248059642,22.365010339050066,1.9441022576797544,1.9765700334301208,0.3496671893492118,0.954624462150898,0.4822788893189876,0.06651547364942846,0.7642745580633994,0.7709779801554743,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,104.57571112814077,-1.9441022527402652,-1.976570028846441,-1.960336140793353,51.307687493673704
三七,CMP007,C36H74O6,三七,3.0823917406988293,55.838230720023496,51.190808008724574,11.366259407167773,218.19546503356713,28.835335215936,-8.454892468090316,PD-L1,Wnt,单味药,53.13871451158037,17.63710901526233,0.4888879732051284,1.7469316566352358,0.0,0.5573348049652552,0.0,0.7396397665622796,0.055923334668799854,0.4449073814660349,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,99.338664400358,-0.48888783230986,-1.7469316488575095,-1.1179097405836846,49.11037732988716
淫羊藿,CMP008,C13H36O17,淫羊藿,7.000654733624351,73.09314525567709,66.04147576031892,30.76111612651276,73.64522019966313,141.0271521689309,-10.878541623241805,4-1BB,MAPK,单味药,14.047066361990499,23.98349677349271,0.8451387211795224,1.863876656261737,0.016148974391384827,0.7335167786318891,0.10281995884544648,0.1955033180088977,0.5378410764319443,0.1387830566888557,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.99456856849835,-0.8451386591432604,-1.863876650320079,-1.3545076547316697,39.820030456883345
黄芪,CMP009,C14H23O12,黄芪,98.54557553419286,28.97899560170372,64.88494213639986,96.45158979443723,138.44209607724562,239.9696456020232,-7.08632521909883,IFNGR1,Notch,熟地+黄柏+当归,68.85897430312347,2.4020241439598635,1.9936371346539532,1.462083343940973,0.39344794190299043,0.2830875437259229,0.45107165757219975,0.4394208703997343,0.9628466097648076,0.6177672709096842,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,156.30320904983637,-1.9936371302469114,-1.4620833289544468,-1.727860229600679,77.28767441011784
桔梗,CMP010,C42H48O9,桔梗,12.868774780765294,89.13844409881432,27.235074345203742,122.95863917135382,131.78099465864312,113.51785510393003,-7.330621685670202,IFNAR1,Wnt,赤芍+黄柏,20.470262570196518,15.84651814326594,1.1095372340103158,1.9500650541287246,0.0403342117115823,0.8973479243853907,0.5915962185672978,0.41434621159485263,0.4196754322779584,0.5869108696373897,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,123.6553461460424,-1.1095372002623893,-1.9500650492565903,-1.5298011247594898,61.06277251064146
