中药名称,成分名称,靶点名称,结合亲和力,SMILES,分子量,综合评分
女贞子,齐墩果酸,PD-L1,-10.766384546209334,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,456.68,0.7177589697472889
白术,白术内酯III,PD-1,-10.540726285578819,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,248.29,0.7027150857052545
当归,阿魏酸,CTLA-4,-9.731031380467902,COC1=CC(=CC=C1O)C(=O)O,194.18,0.6487354253645268
茯苓,茯苓多糖,CD28,-9.56026228712597,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,1500.0,0.6373508191417314
枸杞,枸杞多糖,PD-L1,-9.350554665767074,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,1200.0,0.6233703110511383
黄芪,黄芪甲苷,PD-1,-9.268958374138958,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38,0.6179305582759305
甘草,甘草酸,PD-1,-8.967188675784051,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,822.97,0.5978125783856034
人参,人参皂苷Rg3,PD-1,-8.934825744067323,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,784.97,0.5956550496044882
淫羊藿,淫羊藿苷,PD-1,-8.512728673522338,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,676.65,0.5675152449014892
灵芝,灵芝三萜,CTLA-4,-7.6115640516790695,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,464.62,0.5074376034452713
