中药名称,成分名称,靶点名称,结合亲和力,SMILES,分子量
黄芪,黄芪甲苷,PD-1,-9.268958374138958,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,PD-L1,-9.842261098959312,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,CTLA-4,-5.970336262036655,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,CD28,-8.600647462180218,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,OX40,-7.8695611033370065,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,4-1BB,-8.475470322440202,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,CD40,-10.273420181438903,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,GITR,-7.3084969427741004,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,ICOS,-11.811590874172413,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,LAG3,-10.712607739179914,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,TIM3,-9.197703272007573,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,TIGIT,-10.541805792826958,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,TLR4,-10.058241685792142,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,TLR7,-5.806551490867586,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,TLR9,-6.3837055432883805,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,STING,-7.075763051386953,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,IFNAR1,-9.407770844402815,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
黄芪,黄芪甲苷,IFNGR1,-10.888871939954548,C1=CC(=C(C=C1O)C2=C(C(=O)C3=C(C(=C(C=C3C2=O)O)O)O)O)O,418.38
