Herb_ID/Component_ID,CNE1_IC50,CNE2_IC50,IL_2_Secretion,IFN_g_Secretion,Target_ID,Binding_Energy,Pathway_Name
淫羊藿-CMP001,,13.952752369197304,161.4581882133978,111.99197306176092,GITR,-10.857065456624474,PI3K-Akt
黄芩-CMP002,,9.433238005293465,293.4388797103648,154.48682893769734,CTLA-4,-4.1341529135456945,NF-κB
茯苓-CMP003,26.934913434104153,69.91003428841853,202.49916444565523,346.6223717555726,CTLA-4,,Notch
甘草-CMP004,13.968499682166277,6.327387530778792,98.9957156047863,94.47273245137218,GITR,-1.0107195594504765,Hippo
淫羊藿-CMP005,42.51374422667912,6.3375831579330235,99.71060102220129,307.629424879568,CTLA-4,-11.407642786127276,Hippo
枸杞-CMP006,14.563362070328196,12.08322387742924,79.89856148457542,,PD-1,-10.112120642008353,Wnt
川芎-CMP007,71.07402821048211,62.41965103139264,184.9602728254183,144.9795919151262,CD40,-10.710229701967965,TNF-α
淫羊藿-CMP008,9.08198374076953,5.049435814555003,138.14221408354226,177.53000261056928,4-1BB,-8.660711974809768,MAPK
赤芍-CMP009,28.453225969667113,72.665706042822,87.02173248834998,399.2769552156614,PD-1,-2.355851946727075,Hippo
当归-CMP010,40.11717332583342,81.29827685609011,167.5751586115096,394.69540508634975,4-1BB,-11.277681839564734,NF-κB
熟地-CMP011,14.136772353684972,10.963580316312836,179.43783763187002,348.06723389034494,ICOS,-4.602451053771498,Wnt
黄芩-CMP012,88.85045260298727,31.492778496257277,225.0894574931928,350.9315655162579,CD28,-0.8804978165695045,Notch
生地-CMP013,57.129709989825685,66.93631965274704,106.06732736513995,307.8973508312115,PD-1,-10.56941832622937,Notch
黄柏-CMP014,97.99482153612585,91.07938483326264,158.59859137760716,192.02509046229622,PD-1,,MAPK
黄柏-CMP015,10.552380503831666,93.1902634458339,157.04603707932858,389.3295420939743,CTLA-4,-3.698614975975487,MAPK
白术-CMP016,24.847278173459216,39.07144422313557,113.54091226743469,174.4929882940604,LAG3,-6.423874072037856,PI3K-Akt
