drug_id,drug_name,tumor_scores,immune_scores,comprehensive_score,tumor_score,immune_score,排名
DB04115,Berberine,"{'nasopharyngeal carcinoma, susceptibility to': 0.18260817527770998, 'nasopharyngeal carcinoma': 1.7808599472045898, 'syndrome or malformation associated with head and neck malformations': 0.10425615310668945, 'genetic head and neck malformation': 0.05748136639595032, 'juvenile nasopharyngeal angiofibroma (disease)': 0.11007584333419801, 'head and neck carcinoma': 1.4006062030792237, 'nasopharyngeal diphtheria': 0.11951379776000977, 'nasopharyngeal type undifferentiated carcinoma': 0.3847195148468018, 'nasopharyngeal neoplasm': 0.6183775901794434, 'head and neck cancer': 0.269758677482605, 'nasopharyngeal squamous cell carcinoma': 0.18722968101501467, 'head and neck paraganglioma': 0.17885863780975342}",{},5.92693623594846,5.394345587491989,7.1696477490135635,1
DB04703,Hesperidin,"{'nasopharyngeal carcinoma': 1.425802993774414, 'head and neck carcinoma': 1.102330470085144, 'nasopharyngeal neoplasm': 0.475787878036499, 'head and neck cancer': 0.21453461647033692}",{},3.490074990055797,3.2184559583663943,4.123852730664403,2
DB14635,Curcumin sulfate,{},{},2.3807682013197935,0.0,7.935894004399311,3
DB04665,Coumarin,{},{},2.363954241494385,0.0,7.879847471647951,4
DB09053,Ibrutinib,{},{},2.35591035275545,0.0,7.853034509184834,5
DB13751,Glycyrrhizic acid,{},{},2.354405098108474,0.0,7.848016993694913,6
DB12007,Isoflavone,{},{},2.3406665480002267,0.0,7.802221826667422,7
DB07776,Flavone,{},{},2.2819422793928994,0.0,7.606474264642998,8
DB08168,Coumarin 120,"{'nasopharyngeal carcinoma, susceptibility to': 0.13473304510116577, 'nasopharyngeal squamous cell carcinoma': 0.14481242895126342}",{},2.2789817858277734,0.2795454740524292,6.944333179970244,9
DB03467,Naringenin,{},{},2.2498515838838498,0.0,7.499505279612833,10
DB01698,Rutin,{},{},2.150362475437352,0.0,7.167874918124507,11
DB06732,beta-Naphthoflavone,{},{},2.1488067099198775,0.0,7.162689033066259,12
DB13983,"5,7,2′-trihydroxy-6,8-dimethoxyflavone",{},{},2.034377518374892,0.0,6.781258394582974,13
DB13182,Daidzein,{'head and neck neoplasm': 0.20728840827941897},{},1.962696720192315,0.20728840827941897,6.0586494479890725,14
DB15035,Zanubrutinib,{},{},1.9535031613724214,0.0,6.511677204574738,15
DB06749,Ginsenoside Rb1,{},{},1.9225021269985854,0.0,6.408340423328618,16
DB04216,Quercetin,{},{},1.7259398711373959,0.0,5.75313290379132,17
DB13132,Artemisinin,{},{},1.7162642527288783,0.0,5.720880842429595,18
DB04459,"3,4-Dichloroisocoumarin",{},{},1.613969500967803,0.0,5.379898336559344,19
DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",{},{},1.6128249527031313,0.0,5.376083175677104,20
DB11703,Acalabrutinib,{},{},1.5709431922564976,0.0,5.236477307521659,21
DB06133,Dimethylcurcumin,{},{},1.5040467453470778,0.0,5.013489151156926,22
DB13764,Monoxerutin,{},{},1.4776941793152425,0.0,4.925647264384142,23
DB02462,Thiocoumarin,{},{},1.4626908621459318,0.0,4.875636207153106,24
DB06748,Ginsenoside C,"{'nasopharyngeal teratoma': 0.20708298683166504, 'head and neck neoplasm': 0.20728840827941897}",{},1.4573041898191819,0.414371395111084,3.890814044138077,25
DB13618,Ipriflavone,{},{},1.455161239583245,0.0,4.850537465277483,26
DB14585,Plantago ovata seed,{},{},1.4528519105713646,0.0,4.842839701904549,27
DB03035,"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",{},{},1.4072237017265334,0.0,4.690745672421778,28
DB01645,Genistein,{},{},1.3855698495956879,0.0,4.61856616531896,29
DB11097,Plantago seed,{},{},1.3488843508382669,0.0,4.4962811694608895,30
DB02709,Resveratrol,{},{},1.3470446621656706,0.0,4.490148873885569,31
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",{},{},1.3236279894775476,0.0,4.412093298258492,32
DB03410,4-hydroxycoumarin,{},{},1.3078623992833682,0.0,4.359541330944561,33
DB07908,7-HYDROXY-4-METHYL-3-(2-HYDROXY-ETHYL)COUMARIN,{'head and neck cancer': 0.17829458713531496},{},1.3015855350965695,0.17829458713531496,3.9225977470061633,34
DB13124,Troxerutin,{},{},1.2774558598044312,0.0,4.2581861993481045,35
DB14016,Ox bile extract,{},{},1.2662655909729694,0.0,4.220885303243231,36
DB11672,Curcumin,{},{},1.2529695957224534,0.0,4.176565319074845,37
DB07453,alpha-Naphthoflavone,{},{},1.1848130138695232,0.0,3.9493767128984105,38
DB11087,Pyrethrum extract,{'dandy-walker malformation with nasopharyngeal teratoma and diaphragmatic hernia': 0.013784518837928772},{},1.1567899339864611,0.013784518837928772,3.8238025693330373,39
DB06750,Ginsenoside Rg1,{},{},1.133452021268046,0.0,3.77817340422682,40
DB05767,Andrographolide,{},{},1.1169753397497622,0.0,3.723251132499207,41
