排名,中药名称,成分ID,CNE1_IC50,CNE2_IC50,抗肿瘤评分,免疫激活评分,靶点评分,综合评分,结合亲和力预测,ADMET评分
1,中药化合物_1,CMP_1,37.516557872851514,3.239775650104752,4.677669564267435,23515.003611396714,37308.50800383551,100.0,5.878483388683297,90.3305278371609
2,中药化合物_64,CMP_64,35.739657336689575,53.623890939068374,2.1890568369384056,26728.837732581982,42178.22972386877,100.0,74.37647480353162,78.20880596327206
3,中药化合物_74,CMP_74,81.56459670263793,22.726927942274003,1.8816175670462905,33455.76673592712,22171.099985934812,100.0,26.054377748309566,61.58475301393429
4,中药化合物_73,CMP_73,0.6516595006478797,51.25809652409817,3.709903638001896,19234.931727975694,47815.93939282572,100.0,63.21817134896518,91.194039555734
5,中药化合物_72,CMP_72,19.951696585263825,1.7571241098928299,8.435678964026115,21312.573100579637,48559.01139610132,100.0,98.1204991849396,94.40489588756819
6,中药化合物_71,CMP_71,77.24725245273608,67.78867974804402,1.3602117319656024,16721.044146924112,44998.52386924692,100.0,61.730999145736654,87.79927544506171
7,中药化合物_70,CMP_70,98.69000496639168,59.130205024505365,1.2514061895638324,26552.915493772325,57410.36024756487,100.0,28.77510950417379,71.66650314837213
8,中药化合物_69,CMP_69,7.547609303609105,4.173436641320915,14.576148261780347,22957.102734527118,59832.809825389304,100.0,0.7379485845116747,84.00082192477214
9,中药化合物_68,CMP_68,80.23947837732857,18.73319918894544,1.9807338462301234,48196.510577236215,20454.290655244746,100.0,50.79602660270754,79.19755338868494
10,中药化合物_67,CMP_67,14.178330074978788,32.14592849067641,4.138708092712323,36071.94421708882,37731.08879714759,100.0,83.23020437797841,75.6997422562674
11,中药化合物_66,CMP_66,54.31533870750903,83.54671930936487,1.429980388075447,32779.155572537544,55545.54652894793,100.0,81.81490570949431,62.89787551178235
12,中药化合物_65,CMP_65,28.16535751776934,9.11994802843539,5.0909620586958,41275.7682220926,37656.85539746217,100.0,16.159913615225992,60.46482159632403
13,中药化合物_63,CMP_63,82.89087716427774,63.38961810501338,1.3487950632804502,6405.787534570984,51754.422164822834,100.0,33.57837354048828,72.41447835694295
14,中药化合物_2,CMP_2,95.07635921035063,63.67740008525167,1.2441388672735778,21344.575183583875,24792.082407492497,100.0,96.91335275106705,60.98347665835206
15,中药化合物_62,CMP_62,27.207768274212203,63.2673524762986,2.1627438642614076,10038.824106393047,68337.30564265246,100.0,12.974099760597175,91.90236402548753
16,中药化合物_61,CMP_61,38.928861239979256,36.8415349586534,2.5716726386372244,17247.635779388696,58156.1121606137,100.0,82.59909338141979,70.75973617740391
17,中药化合物_60,CMP_60,32.60050004325011,72.84881322632476,1.8613427477030846,13975.08670916234,48231.17472941206,100.0,3.021803575152459,83.27885607657595
18,中药化合物_59,CMP_59,4.618206162162752,23.83999064484073,6.566376902325764,25814.81386171285,40963.00403664595,100.0,87.19716842174867,62.568357483005364
19,中药化合物_58,CMP_58,19.678687955672608,76.18579957133889,2.043642234828013,21700.613461859153,31391.80624131178,100.0,88.09898884397295,79.66378186965747
20,中药化合物_57,CMP_57,8.940400954986758,67.24634118584727,2.5579784311737863,15953.428511724689,44647.63684804796,100.0,15.944650018778063,68.02098906801346
21,中药化合物_56,CMP_56,92.19523607880937,24.281321623998895,1.6880976614942567,36687.30729504546,31509.756124040843,100.0,75.29639229180836,77.2122357959785
22,中药化合物_55,CMP_55,59.83020788322741,98.56648036564901,1.2469085377228855,6558.890749740191,54520.861104944786,100.0,61.89927668369692,87.42261148915885
23,中药化合物_54,CMP_54,89.49325230772212,48.99633075172855,1.423593092417154,9919.721649580726,87171.23254759819,100.0,68.046063098854,65.00743168810202
24,中药化合物_53,CMP_53,93.95594426226249,14.574997721913187,1.8094480731796647,26156.246245389422,44703.37081765374,100.0,69.77739902076144,64.69232755849578
25,中药化合物_75,CMP_75,70.71504865037694,64.55276176190404,1.457005829693824,26631.906699149047,35461.63205510281,100.0,63.43716973965118,79.22027789031316
26,中药化合物_76,CMP_76,72.92781608729463,17.519206257598647,2.163401209980106,11626.076619212941,28924.26258826197,100.0,54.04453943361396,64.197207136727
27,中药化合物_77,CMP_77,77.14990763392598,69.12468003643635,1.348848802362758,26115.470766958493,56947.43462134203,100.0,78.00655497559924,69.6818006345011
28,中药化合物_78,CMP_78,7.497060708235627,38.73486109542369,4.146631370281127,28474.083282688352,46869.90225688656,100.0,10.787365818813145,99.46650373068586
29,中药化合物_99,CMP_99,2.6393707617351096,88.71993378408521,2.142261030895329,40711.58060467266,58513.18377964364,100.0,74.99021799111817,85.45720998174546
30,中药化合物_98,CMP_98,42.811347734019115,89.72131496926245,1.486627826887734,3402.862892008132,41246.559482283075,100.0,96.89089774304058,64.18271361337601
31,中药化合物_97,CMP_97,52.321009655261214,72.6229723191369,1.5754980810381047,44688.36731663269,48221.26798818324,100.0,97.35154802082195,66.69930329036279
32,中药化合物_96,CMP_96,49.43018007680264,34.986036503804826,2.3143804243436605,25987.380449158947,16612.11522468279,100.0,87.16652693462238,68.0060097697924
33,中药化合物_95,CMP_95,77.11962127746064,33.9690761257652,1.7685233325032095,22611.29648002993,42571.05189253825,100.0,4.669629177870034,92.0234679643633
34,中药化合物_94,CMP_94,56.17159203719268,63.34683558159947,1.6458409141649486,24856.82039688059,50503.38934763367,100.0,62.12946022497097,87.57859876549063
35,中药化合物_93,CMP_93,76.10242635682805,90.05176391061671,1.189384574252389,15288.36444813187,57433.35929030185,100.0,34.65371738960038,82.70163393046232
36,中药化合物_92,CMP_92,71.3531542435772,89.73185421953734,1.2263542914506127,19633.771911403564,73601.30640245166,100.0,58.2588289716097,65.30863016172242
37,中药化合物_91,CMP_91,12.04746516923634,9.40096650380933,8.529355088165792,15332.8590647982,82325.6813036722,100.0,6.828325086730293,75.87693104806384
38,中药化合物_90,CMP_90,47.274271023678736,24.261043860955127,2.7197816493173477,41820.253609400585,43700.22493188421,100.0,70.84639165566362,63.14313988620083
39,中药化合物_89,CMP_89,88.73255298337502,53.012092777765055,1.3913561715010883,13301.861032203295,45121.39772046915,100.0,30.166260337986948,61.328124351654665
40,中药化合物_88,CMP_88,63.791991388385796,55.56456107878629,1.648036269439193,13331.21102189749,28721.454169504086,100.0,6.876922204606673,74.02507724836723
41,中药化合物_87,CMP_87,72.9876572159726,81.74049780010147,1.2760949044508816,3582.453664475299,65500.476485180516,100.0,68.81978365785125,63.514659965793335
42,中药化合物_86,CMP_86,32.58581387047203,66.03240619881448,1.9877115681660678,23938.14076919808,38667.43715384326,100.0,93.72912587492146,80.70846573538846
43,中药化合物_85,CMP_85,31.167133939394656,25.86836860874405,3.3877919449727063,10425.05710319127,82603.6165076507,100.0,10.340721826268858,73.05845232975967
44,中药化合物_84,CMP_84,6.449479193573761,87.74620140276001,2.079095430898406,12081.446940438098,35926.034152324064,100.0,93.20960774045075,60.39083389676735
45,中药化合物_83,CMP_83,33.156712682779656,92.47689246602842,1.566985432769214,25894.927131346736,18948.355700211123,100.0,63.29892712408142,82.38594733947656
46,中药化合物_82,CMP_82,62.36748287007304,11.436004771934849,2.638401031685069,37860.16513025589,51563.12633867472,100.0,34.253029387264746,88.09859882176416
47,中药化合物_81,CMP_81,86.32403224497179,34.17252846992083,1.632698900547049,14841.410187565056,45604.902160079284,100.0,96.30290118551356,84.72622937272476
48,中药化合物_80,CMP_80,11.675319046560459,13.838342320184726,7.269116143216516,9376.341471504511,59369.614428402114,100.0,54.17253120974342,79.95552613805424
49,中药化合物_79,CMP_79,35.910726281572835,93.67932587479977,1.5198717283152503,22889.49358148767,25476.63220980287,100.0,76.12668745995259,65.69982171606053
50,中药化合物_52,CMP_52,77.53576905377534,24.03223287763055,1.9310983727624869,34263.13115431795,65149.83120609729,100.0,83.71763150353084,79.26089406050201
51,中药化合物_51,CMP_51,96.9615043136794,90.8357620080687,1.0537559569533315,28503.926856192415,51895.735346707246,100.0,70.86546137383198,91.86149163904705
52,中药化合物_50,CMP_50,18.566960107000153,27.936781777237485,4.123393211132735,26636.987642651355,41064.2285012444,100.0,86.74269067588426,84.66601258082952
53,中药化合物_25,CMP_25,45.66139142328189,22.87072273793998,2.835587765635966,19357.16850141143,63926.89468517948,100.0,65.55867386583827,76.78909267704489
54,中药化合物_23,CMP_23,29.285250388668295,31.868547149689203,3.166872108973759,15504.414878169859,72030.7706007383,100.0,86.22654896481852,77.29339204170408
55,中药化合物_22,CMP_22,14.03543667913898,89.61952086235698,1.8929542413705485,30728.526856846725,27050.603544680023,100.0,95.56958467315236,66.04231567123601
56,中药化合物_21,CMP_21,61.224104182765714,80.76327150088984,1.389010661875009,43887.85797758562,79168.47582751121,100.0,88.88593317891082,98.0345424900164
57,中药化合物_20,CMP_20,29.193791105784392,53.98028996737351,2.348132172135976,16087.802528639597,17805.461067939028,100.0,13.038540636152137,70.93038107992837
58,中药化合物_19,CMP_19,43.25130736234737,89.26664394914877,1.4867904101280172,12385.46385340425,58217.23910880452,100.0,26.63344425461174,86.1804485712454
59,中药化合物_18,CMP_18,52.52316752006057,18.738348882714984,2.7299462230681164,34119.79674644688,64208.240965702236,100.0,87.758340176775,87.21997208298852
60,中药化合物_17,CMP_17,30.493800071657823,80.38684048222153,1.7717830003324395,29588.18077098264,36188.44583366795,100.0,9.239535056035711,63.295241824633706
61,中药化合物_16,CMP_16,18.42211053435804,87.158912959753,1.8590639269289715,5478.739693795738,63047.02582134281,100.0,58.05061216299734,68.83078451155042
62,中药化合物_15,CMP_15,18.264314223989356,63.37703527539131,2.3911618021117764,10161.512044835854,71208.1176091833,100.0,59.33469949068615,87.74728903125954
63,中药化合物_14,CMP_14,21.31267715675979,80.83122591848526,1.9204196702278187,40112.046115623445,46199.45142384492,100.0,53.74374484705202,91.79238194999718
64,中药化合物_13,CMP_13,83.26101981596213,92.97679546902305,1.1220963389851877,23807.98060171066,56864.74064838747,100.0,22.45937972078005,66.54495284766676
65,中药化合物_12,CMP_12,96.99399423098323,16.206006596675042,1.7361110986379626,14584.844328962827,70122.78126376009,100.0,22.521613126482404,78.05548097318702
66,中药化合物_11,CMP_11,2.1563909801506647,29.04617014608543,6.023631708397442,36416.403429064616,60279.40424879256,100.0,81.60172918656272,77.04725208943891
67,中药化合物_10,CMP_10,70.83645052182494,7.79029299189642,2.480566512846488,6677.141641388869,33417.72878248837,100.0,15.47420104335152,99.88498000630844
68,中药化合物_9,CMP_9,60.15138967314657,22.956936732613087,2.34994633834634,25812.081733636413,32677.716851922145,100.0,69.63245974357385,70.94506665126664
69,中药化合物_8,CMP_8,86.63099696291603,75.57955874045057,1.2179484999812327,26058.93221765278,70847.19003360906,100.0,75.84802372283872,77.83610825506993
70,中药化合物_7,CMP_7,5.902552855603126,41.097254011259416,4.081648740849537,25351.817310615552,81654.87565383517,100.0,39.68457768837561,87.33181506426021
71,中药化合物_6,CMP_6,15.683852581586645,25.00429369197261,4.685141367309234,28784.323093387433,76500.67734260969,100.0,17.472135397026783,90.81629671231173
72,中药化合物_5,CMP_5,15.686262180199408,90.7658907452167,1.8441312099866058,30120.485893223762,55519.840201959014,100.0,99.49129148237888,79.54572761618664
73,中药化合物_4,CMP_4,59.905982571283964,50.90621204735381,1.7728579846895194,43681.1611109317,64425.3892941496,100.0,92.78245309120177,72.94440876598165
74,中药化合物_3,CMP_3,73.22619478695937,31.504162509525038,1.8738811062388132,20864.351319471585,54812.09782738962,100.0,88.39020990784623,60.88494206115989
75,中药化合物_24,CMP_24,36.699548145039806,11.094187260314909,4.016569521685099,23812.458078900097,72579.71242521967,100.0,80.97065586501532,97.74463680670395
76,中药化合物_26,CMP_26,78.53907854316206,42.76806808376301,1.6219660049803508,28862.516977050123,47745.791665881276,100.0,55.13065132385302,85.54103790656342
77,中药化合物_49,CMP_49,54.71635690639364,5.242727249873936,3.2279366734275503,20529.643982495672,75124.0707392247,100.0,85.07311473651477,96.83391391262748
78,中药化合物_27,CMP_27,20.04741083762014,81.81967511565706,1.9255377982777575,21668.24857899783,49743.17815642728,100.0,8.789977315149873,75.90377591851177
79,中药化合物_48,CMP_48,52.054795315663306,50.317634420563266,1.9162148520011135,21569.879282439462,64402.69128326949,100.0,65.87933828237671,61.30104717965008
80,中药化合物_47,CMP_47,31.239936501332156,60.9954769645917,2.122344378234424,18097.94972685283,16021.427505735805,100.0,79.76285955853211,65.2497951072955
81,中药化合物_46,CMP_46,66.2859762069628,3.7850060407178265,2.7750419622792966,25944.62153855567,35368.943638737685,100.0,87.87513563688029,85.04881286525662
82,中药化合物_45,CMP_45,25.952120161841695,28.555565388309017,3.5393415612908,25661.69637847624,41955.03767574681,100.0,26.77612418992519,90.44095963771996
